,actual,cf_median,cf_p16,cf_p84,gap
2009-02-01,7.733,7.528,7.384,7.656,-0.205
2009-03-01,7.886,7.263,7.087,7.524,-0.622
2009-04-01,6.126,5.749,5.413,5.973,-0.377
2009-05-01,5.236,5.235,4.919,5.448,-0.002
2009-06-01,5.734,5.747,5.602,5.91,0.013
2009-07-01,5.393,5.413,5.302,5.556,0.02
2009-08-01,5.335,5.257,5.189,5.384,-0.078
2009-09-01,5.272,5.06,4.99,5.192,-0.212
2009-10-01,5.076,4.725,4.641,4.836,-0.351
2009-11-01,5.531,4.922,4.784,5.108,-0.609
2009-12-01,6.526,5.447,5.207,5.763,-1.079
2010-01-01,8.185,6.205,5.763,6.755,-1.98
2010-02-01,10.128,6.909,6.339,7.703,-3.219
2010-03-01,9.561,5.942,5.267,6.692,-3.619
2010-04-01,10.194,5.677,4.953,6.556,-4.518
2010-05-01,9.1,4.155,3.261,5.161,-4.945
2010-06-01,8.368,3.678,2.476,4.63,-4.689
2010-07-01,7.577,3.379,2.014,4.203,-4.198
2010-08-01,8.335,4.311,3.028,5.003,-4.024
2010-09-01,9.236,4.967,3.934,5.687,-4.269
2010-10-01,8.619,4.231,3.386,4.858,-4.388
2010-11-01,7.288,2.094,1.321,3.021,-5.194
2010-12-01,6.401,1.025,0.269,1.919,-5.376
2011-01-01,4.9,0.096,-0.761,1.043,-4.804
2011-02-01,4.157,0.393,-0.433,1.335,-3.763
2011-03-01,3.986,0.738,0.074,1.522,-3.248
2011-04-01,4.265,1.159,0.463,2.0,-3.106
2011-05-01,7.173,3.134,2.086,4.408,-4.039
2011-06-01,6.236,1.357,0.237,2.629,-4.879
2011-07-01,6.311,0.659,-0.614,2.036,-5.652
2011-08-01,6.653,1.627,-0.139,3.022,-5.027
2011-09-01,6.154,1.917,0.362,3.157,-4.237
2011-10-01,7.656,3.565,2.229,4.703,-4.091
2011-11-01,9.485,5.37,4.384,6.364,-4.115
2011-12-01,10.448,5.815,5.072,6.866,-4.634
2012-01-01,10.613,5.265,4.609,6.362,-5.349
2012-02-01,10.433,4.758,4.067,5.682,-5.675
2012-03-01,10.428,4.545,3.808,5.459,-5.883
2012-04-01,11.138,4.995,4.307,5.998,-6.143
2012-05-01,8.28,3.114,2.266,4.091,-5.166
2012-06-01,8.869,4.099,3.421,4.926,-4.769
2012-07-01,9.065,4.316,3.617,5.253,-4.749
2012-08-01,8.883,3.362,2.388,4.71,-5.521
2012-09-01,9.185,3.116,1.926,4.349,-6.07
2012-10-01,7.799,2.042,0.575,3.383,-5.756
2012-11-01,6.37,1.972,0.306,3.39,-4.398
2012-12-01,6.164,2.99,1.394,4.18,-3.173
2013-01-01,7.308,4.464,3.213,5.586,-2.844
2013-02-01,7.025,4.173,3.163,5.213,-2.852
2013-03-01,7.291,4.263,3.49,5.323,-3.028
2013-04-01,6.134,3.356,2.602,4.161,-2.778
2013-05-01,6.515,3.316,2.613,4.214,-3.199
2013-06-01,8.298,4.421,3.696,5.31,-3.876
2013-07-01,8.884,4.495,3.632,5.455,-4.39
2013-08-01,8.168,3.412,2.306,4.376,-4.756
2013-09-01,7.882,2.854,1.666,3.953,-5.028
2013-10-01,7.712,2.275,1.021,3.645,-5.437
2013-11-01,7.316,1.572,0.128,3.012,-5.744
2013-12-01,7.4,1.565,-0.139,2.987,-5.835
2014-01-01,7.751,3.61,1.261,5.246,-4.141
2014-02-01,7.889,4.718,2.972,5.861,-3.171
2014-03-01,8.386,5.804,4.356,6.906,-2.582
2014-04-01,9.383,6.419,5.588,7.535,-2.964
