,actual,cf_median,cf_p16,cf_p84,gap
2009-02-01,11.5,12.276,12.276,12.276,0.776
2009-03-01,10.5,11.845,11.613,12.117,1.345
2009-04-01,9.75,8.89,8.609,9.26,-0.86
2009-05-01,9.25,8.02,7.672,8.331,-1.23
2009-06-01,8.75,8.711,8.319,9.043,-0.039
2009-07-01,8.25,8.121,7.959,8.388,-0.129
2009-08-01,7.75,8.025,7.88,8.181,0.275
2009-09-01,7.25,7.682,7.581,7.849,0.432
2009-10-01,6.75,7.232,7.133,7.386,0.482
2009-11-01,6.5,7.409,7.27,7.568,0.909
2009-12-01,6.5,8.125,7.855,8.434,1.625
2010-01-01,6.5,9.523,9.032,10.153,3.023
2010-02-01,6.5,11.127,10.251,12.263,4.627
2010-03-01,6.5,9.099,8.09,10.526,2.599
2010-04-01,6.5,8.798,7.674,10.34,2.298
2010-05-01,6.5,6.58,5.683,8.018,0.08
2010-06-01,6.5,5.839,4.711,7.193,-0.661
2010-07-01,6.5,5.344,4.146,6.375,-1.156
2010-08-01,6.5,6.307,4.73,7.474,-0.193
2010-09-01,6.25,7.434,5.753,8.416,1.184
2010-10-01,5.75,6.602,5.466,7.503,0.852
2010-11-01,1.75,5.457,4.616,6.197,3.707
2010-12-01,1.5,3.516,2.716,4.406,2.016
2011-01-01,1.5,2.437,1.646,3.357,0.937
2011-02-01,1.5,2.491,1.626,3.419,0.991
2011-03-01,1.5,2.719,2.067,3.502,1.219
2011-04-01,1.5,3.14,2.512,3.89,1.64
2011-05-01,1.5,4.852,4.067,6.064,3.352
2011-06-01,1.5,3.674,2.577,4.945,2.174
2011-07-01,1.5,2.956,1.703,4.289,1.456
2011-08-01,5.0,2.705,1.341,4.223,-2.295
2011-09-01,5.0,3.774,2.131,5.122,-1.226
2011-10-01,5.0,5.23,3.688,6.828,0.23
2011-11-01,5.0,8.259,6.308,9.974,3.259
2011-12-01,5.0,8.705,7.533,10.446,3.705
2012-01-01,5.0,8.183,7.048,9.952,3.183
2012-02-01,5.0,7.39,6.46,8.8,2.39
2012-03-01,5.0,6.962,6.027,8.435,1.962
2012-04-01,5.0,7.517,6.473,9.093,2.517
2012-05-01,5.0,5.427,4.691,6.603,0.427
2012-06-01,5.0,6.201,5.4,7.454,1.201
2012-07-01,5.0,6.452,5.609,7.646,1.452
2012-08-01,5.0,5.506,4.53,7.11,0.506
2012-09-01,5.0,5.195,4.078,6.782,0.195
2012-10-01,5.0,4.223,2.855,5.548,-0.777
2012-11-01,5.0,3.982,2.377,5.477,-1.018
2012-12-01,5.0,4.8,3.075,6.312,-0.2
2013-01-01,4.75,6.667,4.884,8.49,1.917
2013-02-01,4.5,6.421,5.206,7.911,1.921
2013-03-01,4.5,6.574,5.492,8.137,2.074
2013-04-01,4.0,5.683,4.923,6.721,1.683
2013-05-01,3.5,5.564,4.876,6.582,2.064
2013-06-01,3.5,6.669,5.8,7.847,3.169
2013-07-01,3.5,6.827,5.779,8.174,3.327
2013-08-01,3.5,5.687,4.621,6.797,2.187
2013-09-01,3.5,5.1,3.855,6.222,1.6
2013-10-01,3.5,4.475,3.152,5.768,0.975
2013-11-01,3.5,3.747,2.343,5.248,0.247
2013-12-01,3.5,3.641,1.913,5.037,0.141
2014-01-01,8.0,4.295,2.464,5.777,-3.705
2014-02-01,8.0,7.008,4.289,9.504,-0.992
2014-03-01,8.0,8.243,5.897,10.387,0.243
2014-04-01,8.0,10.15,8.035,12.257,2.15
2014-05-01,8.0,10.009,8.846,11.898,2.009
2014-06-01,8.0,10.114,8.915,11.216,2.114
2014-07-01,7.5,10.677,9.567,11.828,3.177
2014-08-01,7.5,10.311,9.175,11.611,2.811
2014-09-01,7.5,9.155,8.018,10.534,1.655
2014-10-01,7.5,9.14,7.783,10.562,1.64
2014-11-01,7.5,8.943,7.457,10.376,1.443
2014-12-01,7.5,7.587,6.235,8.875,0.087
2015-01-01,7.5,5.81,4.507,7.083,-1.69
2015-02-01,7.25,6.139,4.46,7.669,-1.111
2015-03-01,7.25,6.482,4.643,7.959,-0.768
2015-04-01,7.25,7.737,5.138,9.581,0.487
2015-05-01,7.25,8.32,6.106,10.007,1.07
2015-06-01,7.25,7.784,5.97,9.293,0.534
2015-07-01,7.25,8.189,6.509,9.4,0.939
2015-08-01,7.25,8.991,7.554,10.047,1.741
2015-09-01,7.25,9.657,8.707,11.185,2.407
2015-10-01,7.25,8.836,7.791,10.315,1.586
2015-11-01,7.25,9.48,8.124,10.97,2.23
2015-12-01,7.25,9.441,7.923,11.419,2.191
2016-01-01,7.25,9.059,7.392,11.535,1.809
2016-02-01,7.25,7.512,5.872,9.312,0.262
2016-03-01,7.25,6.24,4.401,7.499,-1.01
