Tarih,TP_FE_OKTG01,TP_FE_OKTG02,TP_FE_OKTG03,TP_FE_OKTG04,TP_FE_OKTG05,TP_FE_OKTG27,TP_FE_OKTG28
2003-1,94.77,94.88,94.46,94.47,95.4,95.01,95.04
2003-2,96.23,96.06,95.23,95.24,96.35,96.51,96.71
2003-3,98.12,97.06,96.12,96.01,97.21,98.49,98.85
2003-4,99.09,97.84,97.68,97.49,98.22,99.5,99.88
2003-5,100.04,98.75,98.97,98.8,99.28,100.5,100.7
2003-6,100.12,100.32,99.98,99.87,99.92,100.17,100.1
2003-7,99.93,100.85,100.49,100.23,100.27,99.74,99.39
2003-8,100.09,101.73,101.2,101.0,100.81,99.67,99.23
2003-9,101.44,102.67,102.89,102.97,102.19,101.08,100.52
2003-10,102.38,102.91,103.8,104.01,102.9,102.04,101.85
2003-11,103.68,103.32,104.52,104.88,103.62,103.4,103.61
2003-12,104.12,103.62,104.65,105.03,103.83,103.87,104.12
2004-1,104.81,104.54,105.51,105.89,104.45,104.58,104.85
2004-2,105.35,105.19,105.84,106.2,104.73,105.15,105.29
2004-3,106.36,106.12,105.8,106.09,104.82,105.68,105.98
2004-4,106.89,106.73,106.51,106.87,105.44,106.22,106.64
2004-5,107.35,107.51,107.75,108.27,106.71,106.71,107.14
2004-6,107.21,108.44,108.79,109.2,107.76,106.56,106.79
2004-7,107.72,109.39,109.25,109.37,108.55,107.09,107.17
2004-8,108.54,110.62,109.85,109.99,109.37,107.95,107.92
2004-9,109.57,111.83,111.06,111.33,110.58,108.98,108.79
2004-10,112.03,113.52,112.91,113.49,112.64,111.54,111.8
2004-11,113.5,114.21,114.28,115.05,114.06,113.09,113.58
2004-12,113.86,114.23,114.55,115.28,114.41,113.47,113.88
2005-1,114.49,115.21,115.16,115.94,114.79,114.12,114.33
2005-2,114.51,115.83,114.72,115.26,114.43,114.04,114.16
2005-3,114.81,116.59,114.76,115.25,114.79,114.34,114.32
2005-4,115.63,117.32,116.13,117.11,116.2,115.2,115.5
2005-5,116.69,117.82,118.08,119.63,117.51,116.31,116.84
2005-6,116.81,118.74,118.99,120.81,118.34,116.43,116.95
2005-7,116.14,119.31,118.26,119.83,117.88,115.62,115.95
2005-8,117.13,121.18,118.16,119.64,118.02,115.67,115.92
2005-9,118.33,122.01,118.75,120.28,119.04,116.93,117.35
2005-10,120.45,122.67,120.5,122.47,120.78,119.14,120.11
2005-11,122.14,122.73,121.42,123.56,121.57,120.91,122.17
2005-12,122.65,123.81,121.79,123.86,122.04,121.11,122.44
2006-1,123.57,125.33,121.76,123.49,122.42,121.73,122.88
2006-2,123.84,125.99,120.8,122.13,121.84,122.02,123.17
2006-3,124.18,126.67,120.62,121.68,121.81,122.36,123.48
2006-4,125.84,127.71,122.4,123.94,123.62,124.1,125.61
2006-5,128.2,128.9,124.96,127.19,126.22,126.57,128.43
2006-6,128.63,130.2,126.37,128.9,128.01,127.02,128.76
2006-7,129.72,132.3,126.87,129.07,129.02,128.15,129.95
2006-8,129.15,133.37,127.31,129.06,129.23,127.56,128.77
2006-9,130.81,134.41,129.13,130.99,130.28,129.28,130.51
2006-10,132.47,135.35,131.48,133.63,132.21,131.02,132.32
2006-11,134.18,135.72,132.51,134.55,133.36,132.81,134.23
2006-12,134.49,136.24,132.62,134.52,133.58,133.13,134.4
2007-1,135.84,137.36,132.17,133.75,133.27,134.53,135.84
2007-2,136.42,138.39,132.02,133.15,133.26,134.96,136.3
2007-3,137.67,139.81,132.66,133.71,134.03,135.74,137.16
2007-4,139.33,140.52,134.49,136.0,135.65,137.47,139.25
2007-5,140.03,140.95,136.52,138.52,137.38,138.2,140.15
2007-6,139.69,141.21,137.31,139.5,137.96,137.84,139.7
2007-7,138.67,141.5,136.45,138.1,137.25,136.77,138.35
2007-8,138.7,142.28,135.88,136.8,136.84,136.81,138.3
2007-9,140.13,143.5,137.06,137.5,137.98,138.3,139.92
2007-10,142.67,144.5,139.38,139.65,139.93,140.94,143.06
2007-11,145.45,146.96,140.94,140.94,142.92,143.34,145.26
2007-12,145.77,147.38,141.36,140.97,143.47,143.67,145.57
2008-1,146.94,149.68,140.61,139.7,144.19,144.89,145.6
2008-2,148.84,151.15,140.6,138.93,144.38,146.85,147.88
2008-3,150.27,152.97,142.43,140.13,146.31,148.32,149.4
2008-4,152.79,155.21,146.07,143.32,149.75,150.93,152.34
2008-5,155.07,157.59,149.95,147.25,153.05,153.3,155.12
2008-6,154.51,159.17,151.62,148.39,154.88,152.72,154.07
2008-7,155.4,161.47,150.96,147.13,156.01,153.64,153.65
2008-8,155.02,162.47,150.72,146.53,155.78,153.24,152.4
2008-9,155.72,163.12,151.45,147.6,156.4,153.97,153.08
2008-10,159.77,164.71,153.33,149.97,159.21,158.17,156.94
2008-11,161.1,165.46,154.31,151.35,160.33,159.55,157.74
2008-12,160.44,165.07,153.86,150.79,159.29,158.87,156.97
2009-1,160.9,166.04,153.15,149.98,159.0,159.34,157.17
2009-2,160.35,166.13,152.08,148.95,158.12,158.77,157.06
2009-3,162.12,166.52,151.23,147.91,157.47,160.08,158.73
2009-4,162.15,165.73,152.37,149.25,157.77,160.11,158.85
2009-5,163.19,165.66,154.49,151.92,158.92,161.18,160.8
2009-6,163.37,166.59,155.12,152.81,159.97,161.37,160.82
2009-7,163.78,168.67,155.15,152.69,159.88,160.9,160.09
2009-8,163.29,170.37,154.72,152.04,160.09,160.24,159.01
2009-9,163.93,171.39,155.15,152.58,160.72,160.9,159.61
2009-10,167.88,174.08,158.11,156.13,163.98,165.0,163.77
2009-11,170.01,174.88,159.08,157.27,165.33,167.2,166.39
2009-12,170.91,175.49,158.75,156.58,165.31,168.14,167.47
2010-1,174.07,180.0,158.29,155.73,166.02,169.35,168.51
2010-2,176.59,181.72,157.99,154.98,165.94,171.53,171.24
2010-3,177.62,182.95,158.81,155.91,166.87,172.6,172.48
2010-4,178.68,183.12,160.24,157.68,168.04,173.7,173.72
2010-5,178.04,182.65,162.21,160.21,169.87,173.04,172.7
2010-6,177.04,182.05,162.19,160.37,170.0,172.01,171.29
2010-7,176.19,182.76,161.66,159.56,169.51,171.12,170.12
2010-8,176.9,183.23,160.91,158.46,168.84,171.85,170.92
2010-9,179.07,184.25,160.99,158.22,169.12,174.24,173.9
2010-10,182.35,185.05,162.88,160.04,170.81,177.78,178.36
2010-11,182.4,185.63,164.18,161.26,172.28,177.76,178.17
2010-12,181.85,186.77,164.29,161.26,173.37,177.18,177.28
2011-1,182.6,188.15,164.21,160.68,173.69,177.96,177.78
2011-2,183.93,189.37,164.65,160.84,174.07,179.34,179.55
2011-3,184.7,190.67,165.59,161.79,175.34,180.12,180.38
2011-4,186.3,191.61,167.95,164.65,177.53,181.78,182.39
2011-5,190.81,192.6,170.55,167.77,180.08,186.45,188.18
2011-6,188.08,192.84,171.49,168.82,180.92,183.62,184.39
2011-7,187.31,193.92,171.34,168.23,180.99,182.83,183.24
2011-8,188.67,196.09,171.65,168.27,182.03,184.24,184.83
2011-9,190.09,198.61,172.93,169.24,183.52,185.69,186.39
2011-10,196.31,203.08,175.87,172.31,187.04,190.56,191.14
2011-11,199.7,204.42,178.11,174.45,188.93,193.61,194.71
2011-12,200.85,205.04,178.32,174.35,189.29,194.8,196.04
2012-1,201.98,207.23,178.59,174.21,190.25,195.95,196.71
2012-2,203.12,208.32,178.59,173.9,190.54,197.12,198.02
