Tarih,TP_FG_J011,TP_FG_J012,TP_FG_J021,TP_FG_J022,TP_FG_J031,TP_FG_J032,TP_FG_J041,TP_FG_J043,TP_FG_J044,TP_FG_J045,TP_FG_J051,TP_FG_J052,TP_FG_J053,TP_FG_J054,TP_FG_J055,TP_FG_J056,TP_FG_J061,TP_FG_J062,TP_FG_J063,TP_FG_J071,TP_FG_J072,TP_FG_J073,TP_FG_J081,TP_FG_J082,TP_FG_J083,TP_FG_J091,TP_FG_J092,TP_FG_J093,TP_FG_J094,TP_FG_J095,TP_FG_J096,TP_FG_J101,TP_FG_J102,TP_FG_J103,TP_FG_J104,TP_FG_J105,TP_FG_J111,TP_FG_J112,TP_FG_J121,TP_FG_J123,TP_FG_J124,TP_FG_J125,TP_FG_J126,TP_FG_J127
2003-1,93.43,95.87,91.52,89.7,95.41,94.75,92.17,97.15,92.9,100.11,95.34,96.33,96.11,95.9,96.96,95.7,99.72,83.69,90.12,94.26,98.15,91.14,94.12,105.72,95.14,102.96,96.61,96.71,94.19,94.58,97.46,92.34,92.0,92.24,93.61,96.3,93.01,93.8,95.01,102.58,90.84,98.87,100.0,94.72
2003-2,96.25,96.04,91.93,90.42,93.4,94.41,93.13,97.47,94.24,100.85,95.76,96.73,97.79,96.79,97.21,96.63,99.75,91.48,94.73,97.78,102.53,92.84,94.12,105.72,95.14,100.65,96.51,96.79,96.19,94.76,97.41,92.34,92.0,92.24,93.61,96.34,95.3,95.46,96.21,102.6,91.72,98.87,100.0,94.89
2003-3,101.29,96.26,92.19,90.42,92.89,94.4,93.92,97.8,96.07,101.08,95.89,97.14,97.49,97.64,97.4,97.8,99.76,98.17,97.41,98.61,104.47,93.59,94.12,106.19,97.61,101.22,96.78,97.16,96.38,95.38,97.59,92.34,92.0,92.24,93.61,96.39,96.32,95.67,97.18,101.88,96.09,98.87,100.0,100.44
2003-4,102.78,96.98,92.76,90.42,96.69,97.83,95.11,98.37,97.7,100.46,96.66,97.59,99.22,98.13,97.77,99.05,101.88,98.4,97.41,102.7,102.65,95.97,94.12,106.19,97.61,102.51,97.04,97.7,97.32,95.56,97.83,92.34,92.0,92.24,93.61,96.6,97.0,96.01,98.04,97.57,96.67,99.1,100.0,100.61
2003-5,103.73,98.29,93.1,90.42,100.51,99.97,96.58,99.15,98.94,101.44,97.98,98.38,99.9,98.89,98.37,99.78,101.91,100.05,97.49,102.86,100.3,100.02,94.12,103.61,97.61,101.98,97.22,98.25,98.05,95.66,97.75,92.34,92.06,92.24,93.61,97.02,97.78,96.98,99.02,97.53,96.94,99.13,100.0,100.63
2003-6,101.11,99.2,98.42,99.0,101.34,99.95,98.58,99.88,99.85,100.22,98.57,99.15,102.83,99.69,99.14,100.35,101.98,100.47,99.73,101.69,99.85,101.07,94.12,100.94,101.24,100.21,97.48,98.97,98.85,95.99,102.48,92.65,92.3,92.24,93.61,97.75,98.95,98.2,100.0,96.19,97.47,99.22,100.0,100.66
2003-7,98.91,101.77,101.94,103.93,99.49,99.35,100.35,100.51,102.37,99.47,99.48,100.12,99.74,100.57,99.84,101.55,102.02,102.91,102.66,102.69,100.03,102.08,94.12,98.03,101.24,97.31,97.85,99.27,99.71,97.17,107.22,92.65,92.3,92.39,93.61,98.07,99.87,98.67,100.65,94.55,97.71,99.6,100.0,100.81
2003-8,97.38,102.2,105.29,108.86,97.07,98.95,102.38,101.02,102.62,98.93,100.66,100.73,99.78,101.15,100.25,101.21,102.09,104.1,103.11,101.01,99.97,102.6,101.96,95.26,102.15,95.3,98.88,100.15,101.51,99.15,112.68,105.48,111.07,110.77,93.61,99.23,101.29,99.19,101.33,95.64,99.9,100.14,100.0,100.89
2003-9,98.55,102.87,106.02,108.86,100.3,101.37,104.7,101.66,102.76,99.33,101.88,102.1,102.96,101.68,101.52,101.69,102.31,104.85,103.66,100.14,99.21,104.64,109.8,93.64,103.06,97.89,103.88,101.47,102.68,105.39,107.4,111.86,111.07,110.83,112.79,103.94,102.69,105.17,102.29,98.74,106.49,101.18,100.0,101.43
2003-10,100.03,103.47,107.37,109.31,105.25,104.39,106.81,102.01,103.59,99.06,103.82,103.12,103.34,102.39,103.01,101.98,98.67,105.23,104.11,98.8,97.53,105.21,109.8,94.34,103.06,99.42,105.15,103.93,104.52,107.09,96.66,111.89,111.07,110.87,112.79,105.31,104.76,106.46,103.06,101.44,108.35,101.53,100.0,101.57
