Tarih,TP_DK_USD_A_YTL
2003-1,1.65583568
2003-2,1.62323088
2003-3,1.65538671
2003-4,1.62719648
2003-5,1.49037743
2003-6,1.41909967
2003-7,1.39710796
2003-8,1.39710267
2003-9,1.37234541
2003-10,1.42127105
2003-11,1.47245406
2003-12,1.4291163
2004-1,1.34342076
2004-2,1.32382965
2004-3,1.31585765
2004-4,1.3513651
2004-5,1.5013422
2004-6,1.48874518
2004-7,1.44823905
2004-8,1.4673669
2004-9,1.49834336
2004-10,1.48478065
2004-11,1.44542335
2004-12,1.39334004
2005-1,1.35004211
2005-2,1.310155
2005-3,1.30495652
2005-4,1.35351429
2005-5,1.36504762
2005-6,1.35468182
2005-7,1.33272857
2005-8,1.33662727
2005-9,1.33420909
2005-10,1.3512
2005-11,1.353685
2005-12,1.34570909
2006-1,1.32793333
2006-2,1.32016
2006-3,1.32872609
2006-4,1.33092
2006-5,1.41385455
2006-6,1.59285455
2006-7,1.55078095
2006-8,1.46219091
2006-9,1.47214286
2006-10,1.47624211
2006-11,1.45102273
2006-12,1.4264
2007-1,1.4198
2007-2,1.390245
2007-3,1.40286818
2007-4,1.355275
2007-5,1.33185652
2007-6,1.31519524
2007-7,1.27597273
2007-8,1.30828182
2007-9,1.261305
2007-10,1.19659048
2007-11,1.18474545
2007-12,1.17296316
2008-1,1.17043636
2008-2,1.18817143
2008-3,1.23237619
2008-4,1.29671429
2008-5,1.24699524
2008-6,1.2278
2008-7,1.20995217
2008-8,1.17266667
2008-9,1.2296381
2008-10,1.473265
2008-11,1.58785
2008-12,1.53881053
2009-1,1.58905238
2009-2,1.65236
2009-3,1.70453636
2009-4,1.60415238
2009-5,1.55176316
2009-6,1.53978182
2009-7,1.5136913
2009-8,1.47922381
2009-9,1.48523
2009-10,1.4621381
2009-11,1.48002105
2009-12,1.49951304
2010-1,1.46632
2010-2,1.50556
2010-3,1.52831304
2010-4,1.48787143
2010-5,1.534805
2010-6,1.57028636
2010-7,1.53631364
2010-8,1.50162857
2010-9,1.488915
2010-10,1.41846
2010-11,1.42952778
2010-12,1.51314783
2011-1,1.55381905
2011-2,1.58283
2011-3,1.57466957
2011-4,1.51561905
2011-5,1.56415714
2011-6,1.59401364
2011-7,1.64671429
2011-8,1.7442381
2011-9,1.78651905
2011-10,1.82708095
2011-11,1.80378421
2011-12,1.85885
2012-1,1.83893636
2012-2,1.75109048
2012-3,1.77929545
2012-4,1.77984
2012-5,1.79695455
2012-6,1.81607143
2012-7,1.80488636
2012-8,1.78584
2012-9,1.79563
2012-10,1.79414
2012-11,1.78545
2012-12,1.77909048
2013-1,1.76385909
2013-2,1.769925
2013-3,1.80719524
2013-4,1.79647143
2013-5,1.82277727
2013-6,1.89451
2013-7,1.93048261
2013-8,1.95470526
2013-9,2.01714762
2013-10,1.99031667
2013-11,2.02174762
2013-12,2.05784091
2014-1,2.21683636
2014-2,2.21276
2014-3,2.21779524
2014-4,2.12747143
2014-5,2.090805
2014-6,2.11572381
2014-7,2.118675
2014-8,2.15827143
2014-9,2.20357727
2014-10,2.25831
2014-11,2.233575
2014-12,2.28766522
2015-1,2.32834286
2015-2,2.455225
2015-3,2.58384091
2015-4,2.64814286
2015-5,2.64613684
2015-6,2.70115909
2015-7,2.69460455
2015-8,2.84555714
2015-9,3.002715
2015-10,2.92957619
2015-11,2.87128571
2015-12,2.91723478
2016-1,3.00695
2016-2,2.9406619
2016-3,2.89173913
2016-4,2.8347381
2016-5,2.92659524
2016-6,2.91698636
2016-7,2.95755556
2016-8,2.96286364
2016-9,2.9601
2016-10,3.06794286
2016-11,3.26745
2016-12,3.48892727
2017-1,3.73488636
2017-2,3.67236
2017-3,3.66594348
2017-4,3.653835
2017-5,3.5638619
2017-6,3.51899
2017-7,3.55986667
2017-8,3.50936957
2017-9,3.46547143
2017-10,3.66225909
2017-11,3.87905
2017-12,3.84770476
2018-1,3.7723087
2018-2,3.77802
2018-3,3.88087727
2018-4,4.0530381
2018-5,4.39787391
2018-6,4.62822
2018-7,4.74800909
2018-8,5.73019444
2018-9,6.36687
2018-10,5.85937273
2018-11,5.37349091
2018-12,5.30612381
2019-1,5.36939091
2019-2,5.262055
2019-3,5.4419381
2019-4,5.73577143
2019-5,6.04944545
2019-6,5.81193529
2019-7,5.67217727
2019-8,5.62478889
2019-9,5.71279524
2019-10,5.78454091
2019-11,5.73122857
2019-12,5.83762727
2020-1,5.91815909
2020-2,6.04447
2020-3,6.31443182
2020-4,6.81895238
2020-5,6.95194706
2020-6,6.80883182
2020-7,6.85109524
2020-8,7.25219
2020-9,7.50778182
2020-10,7.87388095
2020-11,8.00332381
2020-12,7.72106522
2021-1,7.393975
2021-2,7.072365
2021-3,7.62823478
2021-4,8.15502381
2021-5,8.34225
2021-6,8.59668182
2021-7,8.61294118
2021-8,8.47571429
2021-9,8.51188182
2021-10,9.139945
2021-11,10.52326364
2021-12,13.52849565
2022-1,13.5192619
2022-2,13.621125
2022-3,14.5656087
2022-4,14.68356667
2022-5,15.62392222
2022-6,16.96471818
2022-7,17.38741667
2022-8,17.99495
2022-9,18.28147727
2022-10,18.56461429
2022-11,18.59089545
2022-12,18.63696818
2023-1,18.75757273
2023-2,18.82331
2023-3,18.9693087
2023-4,19.30225263
2023-5,19.68404762
2023-6,23.06448947
2023-7,26.4227381
2023-8,26.95057727
2023-9,26.94091905
2023-10,27.79603182
2023-11,28.58558636
2023-12,29.0225619
2024-1,29.9997
2024-2,30.70415238
2024-3,31.92921905
2024-4,32.27132778
2024-5,32.18989545
2024-6,32.46274706
2024-7,32.83532727
2024-8,33.56078095
2024-9,33.96927143
2024-10,34.17101818
2024-11,34.36471429
2024-12,34.90382273
2025-1,35.45595909
2025-2,36.09402
2025-3,36.970675
2025-4,38.021785
2025-5,38.685355
2025-6,39.33922632
2025-7,40.10610455
2025-8,40.72830952
2025-9,41.21921364
2025-10,41.73025
2025-11,42.17916
2025-12,42.58609565
2026-1,43.11246667
2026-2,43.585695
2026-3,44.07372857
