Tarih,TP_DT_IT_FIY_D01_2010
2003-1,
2003-2,
2003-3,
2003-4,
2003-5,
2003-6,
2003-7,
2003-8,
2003-9,
2003-10,
2003-11,
2003-12,
2004-1,
2004-2,
2004-3,
2004-4,
2004-5,
2004-6,
2004-7,
2004-8,
2004-9,
2004-10,
2004-11,
2004-12,
2005-1,
2005-2,
2005-3,
2005-4,
2005-5,
2005-6,
2005-7,
2005-8,
2005-9,
2005-10,
2005-11,
2005-12,
2006-1,
2006-2,
2006-3,
2006-4,
2006-5,
2006-6,
2006-7,
2006-8,
2006-9,
2006-10,
2006-11,
2006-12,
2007-1,
2007-2,
2007-3,
2007-4,
2007-5,
2007-6,
2007-7,
2007-8,
2007-9,
2007-10,
2007-11,
2007-12,
2008-1,
2008-2,
2008-3,
2008-4,
2008-5,
2008-6,
2008-7,
2008-8,
2008-9,
2008-10,
2008-11,
2008-12,
2009-1,
2009-2,
2009-3,
2009-4,
2009-5,
2009-6,
2009-7,
2009-8,
2009-9,
2009-10,
2009-11,
2009-12,
2010-1,
2010-2,
2010-3,
2010-4,
2010-5,
2010-6,
2010-7,
2010-8,
2010-9,
2010-10,
2010-11,
2010-12,
2011-1,
2011-2,
2011-3,
2011-4,
2011-5,
2011-6,
2011-7,
2011-8,
2011-9,
2011-10,
2011-11,
2011-12,
2012-1,
2012-2,
2012-3,
2012-4,
2012-5,
2012-6,
2012-7,
2012-8,
2012-9,
2012-10,
2012-11,
2012-12,
2013-1,125.26608562
2013-2,127.55174014
2013-3,124.94854419
2013-4,125.63895157
2013-5,123.65370222
2013-6,122.45179674
2013-7,120.42246329
2013-8,121.5147922
2013-9,122.02302904
2013-10,124.02911912
2013-11,123.17181687
2013-12,124.28589417
2014-1,122.3237843
2014-2,122.26897877
2014-3,123.72756667
2014-4,124.11743072
2014-5,122.52633441
2014-6,122.17112592
2014-7,122.68779866
2014-8,120.87485202
2014-9,119.72921618
2014-10,117.42730606
2014-11,116.02070587
2014-12,113.04756937
2015-1,107.16471171
2015-2,105.08817897
2015-3,102.55259548
2015-4,101.18913452
2015-5,102.89799756
2015-6,103.02223402
2015-7,99.88781713
2015-8,98.39581197
2015-9,96.48334659
2015-10,96.43853933
2015-11,94.6627935
2015-12,92.21683922
2016-1,87.45946939
2016-2,88.66633333
2016-3,89.5160039
2016-4,90.81362251
2016-5,92.51360125
2016-6,93.0594288
2016-7,91.98806786
2016-8,92.37718772
2016-9,92.59693474
2016-10,94.42817706
2016-11,92.57342278
2016-12,92.48685887
2017-1,94.14389668
2017-2,95.17095534
2017-3,95.79697552
2017-4,95.89521869
2017-5,96.96622475
2017-6,96.51657627
2017-7,97.04819623
2017-8,99.01820118
2017-9,100.22242999
2017-10,101.46120706
2017-11,103.49379519
2017-12,103.79887083
2018-1,105.21361302
2018-2,104.60020041
2018-3,104.52977292
2018-4,106.27431523
2018-5,105.44745281
2018-6,105.19084033
2018-7,104.15732745
2018-8,104.24325241
2018-9,103.82430906
2018-10,106.03099057
2018-11,105.32571064
2018-12,103.73738618
2019-1,103.20243718
2019-2,102.5292689
2019-3,103.80216875
2019-4,103.27867447
2019-5,101.32232048
2019-6,100.70474233
2019-7,100.66912503
2019-8,99.02962645
2019-9,98.36336797
2019-10,98.34073276
2019-11,98.21558997
2019-12,97.95509104
2020-1,98.20797512
2020-2,95.7177711
2020-3,96.16383878
2020-4,89.10016083
2020-5,86.54610561
2020-6,90.85973838
2020-7,90.28096232
2020-8,94.73303066
2020-9,96.53833563
2020-10,95.5896064
2020-11,98.26956972
2020-12,100.1476593
2021-1,101.99635369
2021-2,105.52873776
2021-3,109.88378383
2021-4,110.4314122
2021-5,111.76552525
2021-6,112.88854369
2021-7,117.57815059
2021-8,120.43775559
2021-9,119.09427294
2021-10,132.86813774
2021-11,127.05459266
2021-12,125.88769321
2022-1,143.44753197
2022-2,148.99115525
2022-3,147.94511992
2022-4,157.90121384
2022-5,150.88280084
2022-6,152.61256561
2022-7,150.41367819
2022-8,151.60599253
2022-9,152.11697665
2022-10,145.52672085
2022-11,139.69779658
2022-12,136.8068432
2023-1,143.30462624
2023-2,136.61778819
2023-3,132.4612872
2023-4,130.98433317
2023-5,130.69828557
2023-6,127.58902629
2023-7,126.51387238
2023-8,127.60655492
2023-9,126.4182399
2023-10,127.57616508
2023-11,128.71635207
2023-12,129.6553649
2024-1,130.56533794
2024-2,128.51480895
2024-3,130.56762027
2024-4,131.76545974
2024-5,133.14322974
2024-6,130.13727838
2024-7,131.1635212
2024-8,132.05095069
2024-9,133.73180258
2024-10,133.22814265
2024-11,133.74455164
2024-12,131.33421392
2025-1,127.81331084
2025-2,133.29620949
2025-3,132.69318491
2025-4,133.83306335
2025-5,133.13480929
2025-6,133.0503537
2025-7,131.97251954
2025-8,132.93372219
2025-9,136.0396355
2025-10,138.51257393
2025-11,136.90604128
2025-12,137.7498299
2026-1,135.84975781
2026-2,139.97214178
2026-3,141.06323834
