Tarih,ipi
2003-01,34.8090356
2003-02,33.80371296
2003-03,34.3502572
2003-04,33.32183854
2003-05,33.34882405
2003-06,34.7044104
2003-07,35.51294846
2003-08,36.38419205
2003-09,36.39449147
2003-10,36.00623093
2003-11,35.86721784
2003-12,36.55512798
2004-01,37.10864251
2004-02,37.44299435
2004-03,37.64587296
2004-04,38.31868827
2004-05,39.39708422
2004-06,39.03051224
2004-07,39.64501768
2004-08,39.34990728
2004-09,38.50513709
2004-10,37.20713833
2004-11,37.43023161
2004-12,38.10244006
2005-01,44.26326254
2005-02,42.4557025
2005-03,41.94903753
2005-04,42.40955076
2005-05,42.80757788
2005-06,42.65789687
2005-07,43.61445661
2005-08,44.33688911
2005-09,44.82152316
2005-10,45.59952742
2005-11,45.72289196
2005-12,45.29839145
2006-01,45.63385459
2006-02,45.97322627
2006-03,47.09373555
2006-04,46.74577699
2006-05,47.15840641
2006-06,47.41160283
2006-07,47.34646813
2006-08,47.21079415
2006-09,47.19650969
2006-10,47.49264242
2006-11,47.30734657
2006-12,49.02784104
2007-01,51.00842163
2007-02,49.81386448
2007-03,50.6855068
2007-04,50.93860856
2007-05,51.75774473
2007-06,50.67618528
2007-07,50.44727003
2007-08,51.22634188
2007-09,51.59555674
2007-10,51.22414807
2007-11,51.38378664
2007-12,52.77515348
2008-01,52.05073379
2008-02,53.068992
2008-03,53.07105801
2008-04,52.4398529
2008-05,52.23647823
2008-06,52.45696491
2008-07,51.41078328
2008-08,50.74616219
2008-09,50.56962384
2008-10,48.04801389
2008-11,46.24434499
2008-12,44.95352289
2009-01,41.90692508
2009-02,42.78196394
2009-03,42.31255535
2009-04,43.00620354
2009-05,44.3743911
2009-06,45.6691531
2009-07,46.4529171
2009-08,45.90949384
2009-09,46.41622975
2009-10,47.27840464
2009-11,49.27045572
2009-12,47.22216267
2010-01,46.75028109
2010-02,47.85298615
2010-03,48.77649204
2010-04,49.27487819
2010-05,50.63655475
2010-06,50.92186222
2010-07,51.2997445
2010-08,52.54020246
2010-09,52.62594821
2010-10,53.15123163
2010-11,54.83761581
2010-12,55.71338376
2011-01,58.08384509
2011-02,57.22517745
2011-03,57.00927566
2011-04,56.91637933
2011-05,57.49518012
2011-06,58.58511822
2011-07,59.71308402
2011-08,61.49471242
2011-09,58.21581958
2011-10,61.5344349
2011-11,60.96897177
2011-12,60.95053396
2012-01,60.31074421
2012-02,59.45520104
2012-03,60.8249634
2012-04,61.50254328
2012-05,61.73710855
2012-06,61.31205249
2012-07,61.88232375
2012-08,61.00329689
2012-09,62.38490724
2012-10,62.46423153
2012-11,61.60726401
2012-12,62.4765012
2013-01,62.76570349
2013-02,64.14551896
2013-03,63.96474757
2013-04,64.48635994
2013-05,64.61858208
2013-06,66.64267095
2013-07,66.2437176
2013-08,64.40417663
2013-09,68.14270696
2013-10,67.4214817
2013-11,67.82739535
2013-12,67.52014249
2014-01,69.95363292
2014-02,69.35886046
2014-03,69.44828928
2014-04,68.84842269
2014-05,67.90697764
2014-06,69.2823463
2014-07,70.97526728
2014-08,67.51890134
2014-09,70.64620758
2014-10,69.79926707
2014-11,70.34011969
2014-12,70.25162184
2015-01,69.96031297
2015-02,69.98220642
2015-03,72.82197603
2015-04,73.10918024
2015-05,73.12178461
2015-06,73.82395273
2015-07,73.34279628
2015-08,75.46127322
2015-09,75.5376384
2015-10,73.73191042
2015-11,75.36672807
2015-12,75.96849344
2016-01,75.40022028
2016-02,76.23613953
2016-03,75.44351994
2016-04,75.59487991
2016-05,76.83576128
2016-06,76.47974377
2016-07,71.81937658
2016-08,77.16211604
2016-09,74.99373415
2016-10,78.26817023
2016-11,77.71771545
2016-12,77.23046249
2017-01,77.82012303
2017-02,79.05375226
2017-03,80.0977995
2017-04,82.29089602
2017-05,81.26464265
2017-06,81.72621353
2017-07,81.56111329
2017-08,84.1163138
2017-09,85.15799721
2017-10,85.51706698
2017-11,86.04794783
2017-12,88.29286057
2018-01,86.60977076
2018-02,86.04437923
2018-03,86.09304776
2018-04,87.15538613
2018-05,85.86450981
2018-06,83.42943182
2018-07,85.45026962
2018-08,85.19034891
2018-09,82.48476044
2018-10,80.78822279
2018-11,80.64791257
2018-12,79.32883321
2019-01,80.70445519
2019-02,81.63313129
2019-03,84.08054585
2019-04,83.6112896
2019-05,84.30787227
2019-06,80.69477281
2019-07,84.43419438
2019-08,82.08003668
2019-09,85.1543403
2019-10,84.03135176
2019-11,84.56833504
2019-12,86.26999764
2020-01,86.03577803
2020-02,88.27499866
2020-03,82.85737742
2020-04,58.56760355
2020-05,69.49693898
2020-06,80.42113409
2020-07,89.23330303
2020-08,90.5869478
2020-09,92.534226
2020-10,92.68082313
2020-11,93.88623598
2020-12,94.36351947
2021-01,96.31723924
2021-02,96.56645763
2021-03,96.66786727
2021-04,96.77485392
2021-05,98.81538909
2021-06,99.94506501
2021-07,98.07892986
2021-08,103.00162985
2021-09,101.25480641
2021-10,102.14430079
2021-11,105.23793745
2021-12,105.19552348
2022-01,102.16139588
2022-02,108.24340255
2022-03,103.83452028
2022-04,106.38815545
2022-05,105.6888234
2022-06,107.74510071
2022-07,100.05407777
2022-08,103.87163412
2022-09,101.35214796
2022-10,104.87914449
2022-11,103.62885482
2022-12,104.91246962
2023-01,106.32683098
2023-02,99.1890292
2023-03,104.95558679
2023-04,105.73352139
2023-05,106.63510916
2023-06,109.31152674
2023-07,108.67471423
2023-08,107.97244994
2023-09,107.63802188
2023-10,106.99081832
2023-11,104.88914015
2023-12,107.25097832
2024-01,107.96756405
2024-02,111.03873501
2024-03,109.50893023
2024-04,104.7804761
2024-05,106.44525227
2024-06,104.1444904
2024-07,104.89944868
2024-08,103.22008209
2024-09,104.86651766
2024-10,104.07950707
2024-11,106.81812507
2024-12,112.39872766
2025-01,109.83127408
2025-02,107.653462
2025-03,111.5716225
2025-04,107.38694581
2025-05,110.9812859
2025-06,111.53337297
2025-07,109.60470964
2025-08,110.10023532
2025-09,108.00990905
2025-10,107.02406637
2025-11,109.69553421
2025-12,110.99383243
2026-01,107.83631868
2026-02,110.70982524
2026-03,109.87078172
