TP_FG_J0,TP_FG_J01,TP_FG_J02,TP_FG_J03,TP_FG_J04,TP_FG_J05,TP_FG_J06,TP_FG_J07,TP_FG_J08,TP_FG_J09,TP_FG_J10,TP_FG_J11,TP_FG_J12,date,TP_FG_J011,TP_FG_J012,TP_FG_J021,TP_FG_J022,TP_FG_J031,TP_FG_J032,TP_FG_J041,TP_FG_J043,TP_FG_J044,TP_FG_J045,TP_FG_J051,TP_FG_J052,TP_FG_J053,TP_FG_J054,TP_FG_J055,TP_FG_J056,TP_FG_J061,TP_FG_J062,TP_FG_J063,TP_FG_J071,TP_FG_J072,TP_FG_J073,TP_FG_J081,TP_FG_J082,TP_FG_J083,TP_FG_J091,TP_FG_J092,TP_FG_J093,TP_FG_J094,TP_FG_J095,TP_FG_J096,TP_FG_J101,TP_FG_J102,TP_FG_J104,TP_FG_J105,TP_FG_J111,TP_FG_J112,TP_FG_J121,TP_FG_J123,TP_FG_J124,TP_FG_J125,TP_FG_J126,TP_FG_J127,TP_FE_OKTG01,TP_FE_OKTG02,TP_FE_OKTG03,TP_FE_OKTG04,TP_FE_OKTG05,TP_FE_OKTG27,TP_FE_OKTG28,overnight_borrowing,ipi,usdtry,commodity_index,inf_TP_FG_J0,inf_TP_FG_J01,inf_TP_FG_J02,inf_TP_FG_J03,inf_TP_FG_J04,inf_TP_FG_J05,inf_TP_FG_J06,inf_TP_FG_J07,inf_TP_FG_J08,inf_TP_FG_J09,inf_TP_FG_J10,inf_TP_FG_J11,inf_TP_FG_J12,inf_TP_FG_J011,inf_TP_FG_J012,inf_TP_FG_J021,inf_TP_FG_J022,inf_TP_FG_J031,inf_TP_FG_J032,inf_TP_FG_J041,inf_TP_FG_J043,inf_TP_FG_J044,inf_TP_FG_J045,inf_TP_FG_J051,inf_TP_FG_J052,inf_TP_FG_J053,inf_TP_FG_J054,inf_TP_FG_J055,inf_TP_FG_J056,inf_TP_FG_J061,inf_TP_FG_J062,inf_TP_FG_J063,inf_TP_FG_J071,inf_TP_FG_J072,inf_TP_FG_J073,inf_TP_FG_J081,inf_TP_FG_J082,inf_TP_FG_J083,inf_TP_FG_J091,inf_TP_FG_J092,inf_TP_FG_J093,inf_TP_FG_J094,inf_TP_FG_J095,inf_TP_FG_J096,inf_TP_FG_J101,inf_TP_FG_J102,inf_TP_FG_J104,inf_TP_FG_J105,inf_TP_FG_J111,inf_TP_FG_J112,inf_TP_FG_J121,inf_TP_FG_J123,inf_TP_FG_J124,inf_TP_FG_J125,inf_TP_FG_J126,inf_TP_FG_J127,d_usdtry,d_commodity,log_ipi,output_gap,F_iner,F_imp
94.77,93.6,89.83,95.24,96.79,95.77,91.91,94.61,96.09,97.31,92.9,93.36,98.77,2003-01-01,93.43,95.87,91.52,89.7,95.41,94.75,92.17,97.15,92.9,100.11,95.34,96.33,96.11,95.9,96.96,95.7,99.72,83.69,90.12,94.26,98.15,91.14,94.12,105.72,95.14,102.96,96.61,96.71,94.19,94.58,97.46,92.34,92.0,93.61,96.3,93.01,93.8,95.01,102.58,90.84,98.87,100.0,94.72,94.77,94.88,94.46,94.47,95.4,95.01,95.04,44.0,34.8090356,1.65583568,65.15136301174422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5498769967570034,3.867324176115794,,
96.23,96.24,90.53,93.66,97.65,96.62,95.71,97.8,96.09,97.24,92.9,95.37,99.3,2003-02-01,96.25,96.04,91.93,90.42,93.4,94.41,93.13,97.47,94.24,100.85,95.76,96.73,97.79,96.79,97.21,96.63,99.75,91.48,94.73,97.78,102.53,92.84,94.12,105.72,95.14,100.65,96.51,96.79,96.19,94.76,97.41,92.34,92.0,93.61,96.34,95.3,95.46,96.21,102.6,91.72,98.87,100.0,94.89,96.23,96.06,95.23,95.24,96.35,96.51,96.71,44.0,33.80371296,1.62323088,70.22748280671436,1.5288255886205526,2.7814688182877134,0.7762292246233038,-1.672881786326652,0.8845974161690862,0.8836275592732257,4.051294883779644,3.3161398324418556,0.0,-0.07196093859755948,0.0,2.1301075612520926,0.5351656131090898,2.9736480363029116,0.17716642641474323,0.4469890244175545,0.799471280170927,-2.129204952895769,-0.35948442181101825,1.0361668527993473,0.3288462525669722,1.4321074083483154,0.7364682968828973,0.439561147303813,0.4143795424924157,1.7328953488990884,0.9237701271604948,0.2575064511973757,0.9670953552308958,0.030079711461539205,8.90008731097982,4.9888624323399355,3.6663135654914747,4.365851795953013,1.848079557049953,0.0,0.0,0.0,-2.2691411202070633,-0.10356256103740691,0.08268734321257298,2.1011383329797795,0.1901342074854817,-0.05131626324956784,0.0,0.0,0.0,0.04152823979950426,2.4322796405781055,1.7542455565571657,1.255115315451505,0.0194950775546765,0.9640740752345778,0.0,0.0,0.17931548499721117,-1.9887290488259601,7.502650290760027,3.52057064734338,0.05476662789583031,-1.023590370553024,0.734967413684297
98.12,100.96,90.55,93.28,98.29,97.07,98.83,99.02,98.38,97.61,92.91,96.03,99.7,2003-03-01,101.29,96.26,92.19,90.42,92.89,94.4,93.92,97.8,96.07,101.08,95.89,97.14,97.49,97.64,97.4,97.8,99.76,98.17,97.41,98.61,104.47,93.59,94.12,106.19,97.61,101.22,96.78,97.16,96.38,95.38,97.59,92.34,92.0,93.61,96.39,96.32,95.67,97.18,101.88,96.09,98.87,100.0,100.44,98.12,97.06,96.12,96.01,97.21,98.49,98.85,44.0,34.3502572,1.65538671,65.78083000610926,1.9450060021979354,4.78793271264788,0.02208968420740476,-0.40654811532139234,0.6532635255849684,0.46466085978744687,3.207841618027718,1.239727289250503,2.3552279078017158,0.3797797738951836,0.010763683342762675,0.6896579059060493,0.4020105916665351,5.103871653081171,0.2288092521910201,0.2824246934840069,0.0,-0.5475347835367295,-0.010592659296992935,0.8446989546220252,0.3379938691653095,1.923237251837051,0.22780181197727956,0.135663991587176,0.42296447231429113,-0.30725136830032085,0.8743562363761725,0.19526238155114228,1.20353250295544,0.010024560180799114,7.058030054984954,2.789813489542148,0.8452619193738187,1.8744510167416628,0.8045958762928684,0.0,0.44358526796663966,2.5630456182738293,0.5647213700131104,0.2793731446128156,0.38154209729741595,0.19733090476625748,0.6521533579493699,0.18461543705052819,0.0,0.0,0.0,0.05188605938020174,1.0646170900353802,0.21974581123256343,1.0031626604583899,-0.7042282625413065,4.6544794299473224,0.0,0.0,5.6842208303717,1.961610966748023,-6.5411268800380284,3.5366095062676917,0.7764613492899031,-0.9248064182337116,0.26294541356456125
99.09,102.39,90.58,96.99,98.57,98.12,99.92,100.27,98.38,98.21,92.92,96.56,97.96,2003-04-01,102.78,96.98,92.76,90.42,96.69,97.83,95.11,98.37,97.7,100.46,96.66,97.59,99.22,98.13,97.77,99.05,101.88,98.4,97.41,102.7,102.65,95.97,94.12,106.19,97.61,102.51,97.04,97.7,97.32,95.56,97.83,92.34,92.0,93.61,96.6,97.0,96.01,98.04,97.57,96.67,99.1,100.0,100.61,99.09,97.84,97.68,97.49,98.22,99.5,99.88,41.0,33.32183854,1.62719648,61.88518552740622,0.9837308680519463,1.4064652793822852,0.033125379864529236,3.90021578032691,0.28446630988092636,1.0758851666153646,1.0968663429229863,1.2544697602557164,0.0,0.6128095982808723,0.010762524898755288,0.5503934139394318,-1.7606444883825567,1.460309186537767,0.7451907802242808,0.6163847576828196,0.0,4.009398709602685,3.5690205317882473,1.2590760414507685,0.5811302483894387,1.6824466627090473,-0.6152644198095025,0.7997965251347772,0.46217922357705277,1.7589798231722575,0.5005884693642493,0.37915708690903216,1.270019610378803,2.10283487394749,0.23401343537772235,0.0,4.063944059027502,-1.7574805384474423,2.5112102460370878,0.0,0.0,0.0,1.2663989009378263,0.2682903270621928,0.5542454914765571,0.97058067031357,0.18854095875306953,0.24562493159683285,0.0,0.0,0.0,0.21762794225956839,0.703499694287224,0.35475830194569014,0.8810629682154847,-4.322558099139684,0.6017864187337629,0.23235854269003653,0.0,0.1691122014574553,-1.7176060081172173,-6.104763666544155,3.5062129940476856,-3.1459219753447343,-1.1412644460426664,-0.9873191128810577
100.04,103.37,90.61,100.37,99.69,99.02,100.63,100.88,98.15,98.27,92.96,97.43,98.35,2003-05-01,103.73,98.29,93.1,90.42,100.51,99.97,96.58,99.15,98.94,101.44,97.98,98.38,99.9,98.89,98.37,99.78,101.91,100.05,97.49,102.86,100.3,100.02,94.12,103.61,97.61,101.98,97.22,98.25,98.05,95.66,97.75,92.34,92.06,93.61,97.02,97.78,96.98,99.02,97.53,96.94,99.13,100.0,100.63,100.04,98.75,98.97,98.8,99.28,100.5,100.7,41.0,33.34882405,1.49037743,63.06384371406601,0.9541577938610324,0.9525732993668434,0.03311441059015152,3.425547742025792,1.1298415357265057,0.9130630542988349,0.7080558127920078,0.6065144120830368,-0.2340610644723462,0.06107492046529828,0.04303852013922693,0.8969594647973977,0.39733127511016875,0.9200587879653277,1.3417520901332303,0.36586718956899134,0.0,3.8747240541192163,2.163886250975189,1.533756395110153,0.7897975441139238,1.2612046750825279,0.9707852367016656,1.3563709793491086,0.8062502213824096,0.6830078781605131,0.7714991063497934,0.6118098007086736,0.7342989288331658,0.02944207293467116,1.6629256971534723,0.0820933858316053,0.15567234122570994,-2.3159448497052537,4.13345233612219,0.0,-2.4596092152093796,0.0,-0.5183639168300225,0.18531869815143764,0.5613691700633083,0.7473034727032868,0.10459157945419406,-0.08180796038628202,0.0,0.06519613400550739,0.0,0.4338401598597663,0.8009078647116752,1.005241896767295,0.9946291273364771,-0.041004613593553785,0.27891139407154597,0.030267870886380166,0.0,0.01987676412831263,-8.78291864796849,1.886678361726979,3.5070225108703883,-3.9485696156496886,-0.9058867748580189,-1.4047478266723126
100.12,100.98,98.96,100.97,99.74,100.09,101.09,100.78,101.21,99.68,93.1,98.62,98.11,2003-06-01,101.11,99.2,98.42,99.0,101.34,99.95,98.58,99.88,99.85,100.22,98.57,99.15,102.83,99.69,99.14,100.35,101.98,100.47,99.73,101.69,99.85,101.07,94.12,100.94,101.24,100.21,97.48,98.97,98.85,95.99,102.48,92.65,92.3,93.61,97.75,98.95,98.2,100.0,96.19,97.47,99.22,100.0,100.66,100.12,100.32,99.98,99.87,99.92,100.17,100.1,38.0,34.7044104,1.41909967,64.3879461476044,0.07993605541551929,-2.339230714962426,8.815114585026329,0.5960085190520381,0.05014290833642576,1.0747931297650837,0.45607852207245614,-0.09917684042122232,3.0700645478339617,1.4246262664807219,0.15048911794206532,1.2139909358729994,-0.2443246659768583,-2.558233634042839,0.9215721712289238,5.556985115481083,9.065436826813045,0.8223975011114604,-0.020008003268046082,2.0496720831835624,0.7335610445767138,0.915545406226137,-1.2099721157336596,0.6003579466918652,0.7796323598611821,2.8907453586591636,0.8057249752712714,0.779711306776143,0.5696312809455151,0.06866447864073422,0.41891144444807793,2.2716725772596646,-1.143987054372353,-0.4496635106066016,1.0443180095813354,0.0,-2.6107569351544235,3.6513988490049165,-1.7508731556772794,0.2670777139696767,0.7301523159229717,0.8125996974270855,0.3443781123294798,4.725445872300416,0.33515356525262163,0.26036031197111953,0.0,0.7496056048404753,1.1894614898075417,1.2501443683214042,0.9848336054814943,-1.3834620819399568,0.5452407931889169,0.09074868280967152,0.0,0.02980774029719413,-4.900676128838577,2.0778838427490953,3.5468667797407365,-0.8487170926717802,-1.3287774740465297,0.014868681451222669
99.93,99.1,103.79,99.45,100.24,100.32,102.46,101.47,100.95,101.02,93.17,99.34,97.59,2003-07-01,98.91,101.77,101.94,103.93,99.49,99.35,100.35,100.51,102.37,99.47,99.48,100.12,99.74,100.57,99.84,101.55,102.02,102.91,102.66,102.69,100.03,102.08,94.12,98.03,101.24,97.31,97.85,99.27,99.71,97.17,107.22,92.65,92.3,93.61,98.07,99.87,98.67,100.65,94.55,97.71,99.6,100.0,100.81,99.93,100.85,100.49,100.23,100.27,99.74,99.39,35.0,35.51294846,1.39710796,63.32508810777237,-0.1899525689875503,-1.8793036094827187,4.76538988929649,-1.5168437716248206,0.5000510469836073,0.2295295653683027,1.3461269345089732,0.6823265038539361,-0.25722214419632294,1.3353462000763372,0.0751597179312391,0.7274228883224154,-0.5314269021930329,-2.1998687351558743,2.557735091301261,3.514036947406396,4.859774546574069,-1.842406344649472,-0.6021091948583468,1.7795673965115277,0.6287759625076106,2.492464106985537,-0.7511678367256636,0.918966325785675,0.9735611597768035,-3.0510339123122954,0.8788631421776216,0.7035912028690028,1.188721278404703,0.039215686777094305,2.399564437377766,2.895602271838005,0.978577140715764,0.18010811352651146,0.9943473509908429,0.0,-2.925272663848144,0.0,-2.936622523633936,0.3788465085079018,0.3026636693030049,0.8662423224075511,1.221800247590199,4.521514081091205,0.0,0.0,0.0,0.32683105387540934,0.9254668206468253,0.47747335086558707,0.6478966097708927,-1.7196607060057545,0.24592696071330522,0.38225577176493886,0.0,0.1489055717636134,-1.5618278142218833,-1.6644856725266166,3.5698973753300676,0.5689594454053815,-1.1540123230850443,-1.0040418110120641
100.09,97.7,108.62,97.56,100.53,100.69,103.05,101.19,101.53,103.17,104.14,100.37,98.46,2003-08-01,97.38,102.2,105.29,108.86,97.07,98.95,102.38,101.02,102.62,98.93,100.66,100.73,99.78,101.15,100.25,101.21,102.09,104.1,103.11,101.01,99.97,102.6,101.96,95.26,102.15,95.3,98.88,100.15,101.51,99.15,112.68,105.48,111.07,93.61,99.23,101.29,99.19,101.33,95.64,99.9,100.14,100.0,100.89,100.09,101.73,101.2,101.0,100.81,99.67,99.23,32.0,36.38419205,1.39710267,64.43363613895318,0.15998403572297093,-1.4227882287205063,4.548592562950127,-1.9187431952262024,0.28888798295163554,0.3681413042913029,0.574182882541141,-0.27632505493233595,0.5728976554284948,2.1059596072378284,11.131036627241908,1.0315048146504857,0.8875345176685201,-1.5589494997194642,0.42163125657639355,3.2334042956772002,4.634505740572337,-2.462476887713372,-0.40342969492508374,2.0027305787090555,0.5061292003257556,0.2439144582139896,-0.5443561829190813,1.179188241300988,0.6074203391015942,0.040096231491482115,0.575056115736583,0.4098161565560865,-0.3353721825583911,0.06859046861436013,1.1497155772922873,0.4373822397695015,-1.6495219369111247,-0.06000000179993137,0.5081113140189331,8.00100156487531,-2.8663558900920094,0.894838558670763,-2.087194817374094,1.0471299867295336,0.8825651510196764,1.7891342955638656,2.0171833114457804,4.966914460878069,12.969240875371657,18.51164916702217,0.0,1.1758878521921368,1.4118349443662304,0.5256253888826556,0.6733365374425482,1.1462347485657887,2.216577769825623,0.5407042311246002,0.0,0.07932573544380261,-0.0003786400311567295,1.7354209808090992,3.5941343959732803,2.1066951554411073,-0.11444796447765261,-0.7671740087996789
101.44,98.84,108.67,100.58,101.36,102.03,103.53,101.4,102.22,103.7,111.13,103.78,100.52,2003-09-01,98.55,102.87,106.02,108.86,100.3,101.37,104.7,101.66,102.76,99.33,101.88,102.1,102.96,101.68,101.52,101.69,102.31,104.85,103.66,100.14,99.21,104.64,109.8,93.64,103.06,97.89,103.88,101.47,102.68,105.39,107.4,111.86,111.07,112.79,103.94,102.69,105.17,102.29,98.74,106.49,101.18,100.0,101.43,101.44,102.67,102.89,102.97,102.19,101.08,100.52,29.0,36.39449147,1.37234541,64.47377032100329,1.3397709457987794,1.160082207167168,0.04602144680614373,3.0485857396099547,0.8222345595554792,1.322039775968964,0.46471184415537437,0.2073153415414808,0.6773032027002301,0.512400212319708,6.496453946280223,3.3409916113884996,2.0706338345336306,1.194318284417406,0.6534377373334621,0.6909307690992073,0.0,3.2733327243755106,2.4162517345732937,2.2407736847053883,0.6315394978850364,0.13633267278638783,0.40351108921328205,1.2047148763041804,1.3509055216029964,3.1372800854979843,0.5226063267444125,1.2588757219453406,0.47314036022365613,0.2152642709924102,0.7178781727005479,0.5319933231708873,-0.8650314939294468,-0.7631325317278836,1.9687954972219757,7.407994956751551,-1.7152352750004596,0.8869021636447094,2.681458861318209,4.932939308516726,1.3094126179164611,1.146004020659941,6.103389998003994,-4.799176093340751,5.872672790835587,0.0,18.6390467268172,4.6373421654145375,1.3727051511498445,5.854088577403438,0.9429399008689998,3.1898990240592617,6.388139837278395,1.0331901961992074,0.0,0.5338090967616616,-1.7879316595950046,0.06226823492774258,3.5944174299489062,1.2486346775853363,0.8938289347212969,0.8763063916370529
102.38,100.25,109.18,105.02,101.89,102.97,102.04,100.62,102.28,101.47,111.24,105.5,102.21,2003-10-01,100.03,103.47,107.37,109.31,105.25,104.39,106.81,102.01,103.59,99.06,103.82,103.12,103.34,102.39,103.01,101.98,98.67,105.23,104.11,98.8,97.53,105.21,109.8,94.34,103.06,99.42,105.15,103.93,104.52,107.09,96.66,111.89,111.07,112.79,105.31,104.76,106.46,103.06,101.44,108.35,101.53,100.0,101.57,102.38,102.91,103.8,104.01,102.9,102.04,101.85,26.0,36.00623093,1.42127105,67.47850676436497,0.9223890340521734,1.4164685066269556,0.4682129278851477,4.319737746589425,0.5215263973309625,0.9170795981446211,-1.449653250441063,-0.7722046093910251,0.05867970828523639,-2.173892694449009,0.09893421682090064,1.643767897652726,1.6672807665593758,1.490610739836029,0.5815660473921014,1.2653057886383934,0.41252292996905027,4.817277759460126,2.9356696025899076,1.9952437225112973,0.3436935675670938,0.8044627828327933,-0.2721913067172288,1.8862980287827291,0.9940633460312931,0.36839595711670725,0.6958424705526767,1.4570247489469779,0.2847745823963521,-3.622647102177279,0.3617673404791688,0.43317197251004913,-1.3471602147975936,-1.7078792677887478,0.5432465111307572,0.0,0.7447635233405414,0.0,1.550890139318728,1.2151515354161369,2.3954407309338954,1.7761084649472458,1.6001847466938557,-10.536051565782678,0.026815642618771562,0.0,0.0,1.3094571812209743,1.9957278429306946,1.2191239212674176,0.7499426431161638,2.697735785819866,1.73156439550759,0.34532124493411587,0.0,0.13793105635047098,3.503032270072559,4.555064946434051,3.5836920048681433,-0.7106297130198946,-0.9778991076509412,-0.5612163593085744
