Tarih,TP_APIFON4,TP_PY_P02_LON
02-05-2022,,
03-05-2022,,
04-05-2022,,
05-05-2022,14.0,18.5
06-05-2022,14.0,18.5
09-05-2022,14.0,18.5
10-05-2022,14.0,18.5
11-05-2022,14.0,18.5
12-05-2022,14.0,18.5
13-05-2022,14.0,18.5
16-05-2022,14.0,18.5
17-05-2022,14.0,18.5
18-05-2022,14.0,18.5
19-05-2022,,
20-05-2022,14.0,18.5
23-05-2022,14.0,18.5
24-05-2022,14.0,18.5
25-05-2022,14.0,18.5
26-05-2022,14.0,18.5
27-05-2022,14.0,18.5
30-05-2022,14.0,18.5
31-05-2022,14.0,18.5
01-06-2022,14.0,18.5
02-06-2022,14.0,18.5
03-06-2022,14.0,18.5
06-06-2022,14.0,18.5
07-06-2022,14.0,18.5
08-06-2022,14.0,18.5
09-06-2022,14.0,18.5
10-06-2022,14.0,18.5
13-06-2022,14.0,18.5
14-06-2022,14.0,18.5
15-06-2022,14.0,18.5
16-06-2022,14.0,18.5
17-06-2022,14.03,18.5
20-06-2022,14.01,18.5
21-06-2022,14.0,18.5
22-06-2022,14.0,18.5
23-06-2022,14.02,18.5
24-06-2022,14.0,18.5
27-06-2022,14.0,18.5
28-06-2022,14.0,18.5
29-06-2022,14.0,18.5
30-06-2022,14.05,18.5
01-07-2022,14.0,18.5
04-07-2022,14.0,18.5
05-07-2022,14.0,18.5
06-07-2022,14.0,18.5
07-07-2022,14.0,18.5
08-07-2022,14.0,18.5
11-07-2022,,
12-07-2022,,
13-07-2022,14.0,18.5
14-07-2022,14.0,18.5
15-07-2022,,
18-07-2022,14.0,18.5
19-07-2022,14.0,18.5
20-07-2022,14.0,18.5
21-07-2022,14.0,18.5
22-07-2022,14.0,18.5
25-07-2022,14.0,18.5
26-07-2022,14.0,18.5
27-07-2022,14.01,18.5
28-07-2022,14.0,18.5
29-07-2022,14.0,18.5
01-08-2022,14.0,18.5
02-08-2022,14.0,18.5
03-08-2022,14.0,18.5
04-08-2022,14.0,18.5
05-08-2022,14.0,18.5
08-08-2022,14.0,18.5
09-08-2022,14.0,18.5
10-08-2022,14.0,18.5
11-08-2022,14.0,18.5
12-08-2022,14.0,18.5
15-08-2022,14.0,18.5
16-08-2022,14.0,18.5
17-08-2022,14.0,18.5
18-08-2022,14.03,17.5
19-08-2022,13.7,17.5
22-08-2022,13.42,17.5
23-08-2022,13.29,17.5
24-08-2022,13.18,17.5
25-08-2022,13.0,17.5
26-08-2022,13.0,17.5
29-08-2022,13.0,17.5
30-08-2022,,
31-08-2022,13.0,17.5
01-09-2022,13.0,17.5
02-09-2022,13.0,17.5
05-09-2022,13.0,17.5
06-09-2022,13.0,17.5
07-09-2022,13.0,17.5
08-09-2022,13.0,17.5
09-09-2022,13.0,17.5
12-09-2022,13.0,17.5
13-09-2022,13.0,17.5
14-09-2022,13.0,17.5
15-09-2022,13.0,17.5
16-09-2022,13.0,17.5
19-09-2022,13.0,17.5
20-09-2022,13.0,17.5
21-09-2022,13.0,17.5
22-09-2022,13.0,16.5
23-09-2022,12.7,16.5
26-09-2022,12.52,16.5
27-09-2022,12.4,16.5
28-09-2022,12.15,16.5
29-09-2022,12.0,16.5
30-09-2022,12.04,16.5
03-10-2022,12.01,16.5
04-10-2022,12.0,16.5
05-10-2022,12.0,16.5
06-10-2022,12.02,16.5
07-10-2022,12.0,16.5
10-10-2022,12.0,16.5
11-10-2022,12.0,16.5
12-10-2022,12.0,16.5
13-10-2022,12.0,16.5
14-10-2022,12.0,16.5
17-10-2022,12.0,16.5
18-10-2022,12.0,16.5
19-10-2022,12.0,16.5
20-10-2022,12.02,15.0
21-10-2022,11.55,15.0
24-10-2022,11.48,15.0
25-10-2022,11.22,15.0
26-10-2022,10.77,15.0
27-10-2022,10.5,15.0
28-10-2022,10.5,15.0
31-10-2022,10.5,15.0
01-11-2022,10.5,15.0
02-11-2022,10.5,15.0
03-11-2022,10.5,15.0
04-11-2022,10.5,15.0
07-11-2022,10.5,15.0
08-11-2022,10.5,15.0
09-11-2022,10.5,15.0
10-11-2022,10.5,15.0
11-11-2022,10.5,15.0
14-11-2022,10.5,15.0
15-11-2022,10.5,15.0
16-11-2022,10.5,15.0
17-11-2022,10.5,15.0
18-11-2022,10.53,15.0
21-11-2022,10.56,15.0
22-11-2022,10.5,15.0
23-11-2022,10.5,15.0
24-11-2022,10.5,13.5
25-11-2022,10.23,13.5
28-11-2022,9.96,13.5
29-11-2022,9.51,13.5
30-11-2022,9.27,13.5
01-12-2022,9.0,13.5
02-12-2022,9.0,13.5
05-12-2022,9.0,13.5
06-12-2022,9.0,13.5
07-12-2022,9.0,13.5
08-12-2022,9.0,13.5
09-12-2022,9.0,13.5
12-12-2022,9.0,13.5
13-12-2022,9.0,13.5
14-12-2022,9.0,13.5
15-12-2022,9.0,13.5
16-12-2022,9.0,13.5
19-12-2022,9.0,13.5
20-12-2022,9.0,13.5
21-12-2022,9.0,13.5
22-12-2022,9.0,13.5
23-12-2022,9.0,13.5
26-12-2022,9.0,13.5
27-12-2022,9.0,13.5
28-12-2022,9.0,13.5
29-12-2022,9.02,13.5
30-12-2022,9.04,13.5
02-01-2023,9.0,13.5
03-01-2023,9.0,13.5
04-01-2023,9.05,13.5
05-01-2023,9.06,13.5
06-01-2023,9.0,13.5
09-01-2023,9.0,13.5
10-01-2023,9.0,13.5
11-01-2023,9.0,13.5
12-01-2023,9.0,13.5
13-01-2023,9.04,13.5
16-01-2023,9.0,13.5
17-01-2023,9.0,13.5
18-01-2023,9.0,13.5
19-01-2023,9.0,13.5
20-01-2023,9.0,13.5
